Ticker,GFValue,SmartScore,Price,Market Capitalization,Sector,Industry
CMRE,21.81,6.0,11.0,1320137802.0,Transportation,Marine Shipping
CMS,64.31,7.0,56.27,16417535081.000002,Utilities,Electric Utilities
CNC,92.8,7.0,76.5,40866375641.0,Health Services,Managed Health Care
CNHI,17.63,10.0,12.18,16205291172.999998,Producer Manufacturing,Trucks/Construction/Farm Machinery
CNI,136.43,7.0,128.19,82404747039.96106,Transportation,Railroads
CNK,18.78,6.0,14.88,1809602347.0,Consumer Services,Movies/Entertainment
CNM,0.0,6.0,42.98,8651587358.999998,Distribution Services,Wholesale Distributors
CNMD,140.33,4.0,84.47,2597638302.0,Health Technology,Medical Specialties
CNNE,22.32,8.0,20.91,1478587389.0,Consumer Services,Restaurants
CNP,27.65,7.0,27.43,17314462766.000004,Utilities,Electric Utilities
CNQ,48.82,5.0,60.58,65572702084.28234,Energy Minerals,Oil & Gas Production
CNS,62.07,5.0,69.19,3399901924.0,Finance,Investment Managers
CNX,13.07,9.0,20.2,3208836205.0,Energy Minerals,Integrated Oil
CNXC,163.89,8.0,84.07,5576505625.0,Commercial Services,Miscellaneous Commercial Services
CNXN,48.18,4.0,66.04,1734971245.0,Technology Services,Information Technology Services
COCO,0.0,4.0,20.17,1145712542.0,Consumer Non-Durables,Food: Major Diversified
CODI,24.61,5.0,22.01,1580765429.9999998,Finance,Investment Managers
COHR,58.27,8.0,61.81,9383583650.000002,Electronic Technology,Electronic Equipment/Instruments
COHU,28.12,3.0,33.11,1572895035.0000002,Electronic Technology,Semiconductors
COKE,593.62,6.0,879.14,8240784914.0,Consumer Non-Durables,Beverages: Non-Alcoholic
COLD,30.21,8.0,27.99,7935721865.0,Finance,Real Estate Investment Trusts
COLM,91.91,5.0,78.07,4723841925.0,Consumer Non-Durables,Apparel/Footwear
COMP,3.2,7.0,3.76,1887459159.0,Technology Services,Packaged Software
COO,104.65,7.0,373.65,18564904511.0,Health Technology,Medical Specialties
COOP,33.57,9.0,68.27,4410241679.0,Finance,Finance/Rental/Leasing
COP,110.76,6.0,113.9,135245768340.0,Energy Minerals,Oil & Gas Production
COR,185.72,10.0,230.32,45944694464.0,Distribution Services,Medical Distributors
CORT,33.52,9.0,22.49,2318299759.9999995,Health Technology,Pharmaceuticals: Major
COST,573.15,10.0,724.16,321330341560.0,Retail Trade,Specialty Stores
COTY,10.78,8.0,11.88,10593052551.0,Consumer Non-Durables,Household/Personal Care
COUR,19.84,8.0,17.62,2687889776.9999995,Technology Services,Internet Software/Services
CP,90.33,7.0,85.47,79640153501.14363,Transportation,Railroads
CPA,122.94,10.0,100.13,4276672158.000001,Transportation,Airlines
CPB,51.28,6.0,43.1,12848103231.999998,Consumer Non-Durables,Food: Major Diversified
CPE,30.81,4.0,31.62,2101924551.0,Energy Minerals,Oil & Gas Production
CPG,7.96,10.0,6.37,3991103062.48308,Energy Minerals,Integrated Oil
CPK,133.46,8.0,101.88,2206353070.0000005,Utilities,Gas Distributors
CPNG,20.3,8.0,14.5,25922918563.0,Retail Trade,Internet Retail
CPRI,59.0,3.0,47.54,5525131970.0,Retail Trade,Apparel/Footwear Retail
CPRT,47.3,8.0,50.96,48933393574.0,Retail Trade,Specialty Stores
CPRX,20.36,8.0,13.37,1438141520.0,Health Technology,Pharmaceuticals: Major
CR,50.18,9.0,126.88,7208665089.0,Electronic Technology,Aerospace & Defense
CRC,41.51,7.0,53.66,3682141149.0,Energy Minerals,Integrated Oil
CRCT,9.97,1.0,5.32,1165968576.0,Distribution Services,Wholesale Distributors
CRDO,0.0,8.0,21.24,3393301598.9999995,Technology Services,Information Technology Services
CRGY,0.0,6.0,10.87,1952870691.0,Energy Minerals,Integrated Oil
CRH,54.87,,74.65,51557649586.0,Non-Energy Minerals,Construction Materials
CRI,82.02,7.0,80.86,2977654161.0,Retail Trade,Apparel/Footwear Retail
CRL,264.62,7.0,218.77,11222202541.0,Commercial Services,Miscellaneous Commercial Services
CRM,244.84,10.0,291.95,282607611816.0,Technology Services,Packaged Software
CRNX,0.66,7.0,38.455,2568765488.0,Health Technology,Pharmaceuticals: Major
CROX,130.09,8.0,104.31,6317703971.000001,Consumer Non-Durables,Apparel/Footwear
CRS,61.12,10.0,62.8,3103097919.0,Non-Energy Minerals,Other Metals/Minerals
CRSP,156.0,9.0,68.83,5467335108.0,Health Technology,Biotechnology
CRSR,15.7,6.0,12.99,1337691587.9999998,Technology Services,Packaged Software
CRTO,31.4,7.0,32.33,1802885494.0,Commercial Services,Advertising/Marketing Services
CRUS,89.04,8.0,93.24,5028897990.0,Electronic Technology,Semiconductors
CRVL,211.91,5.0,240.23,4106557953.000001,Finance,Insurance Brokers/Services
CRWD,353.91,6.0,323.04,77580710671.0,Technology Services,Packaged Software
CSAN,87.72,4.0,14.7,6889382431.377099,Utilities,Gas Distributors
CSCO,54.36,3.0,49.95,202970620813.0,Technology Services,Information Technology Services
CSGP,88.81,7.0,81.77,33391871623.0,Technology Services,Internet Software/Services
CSGS,61.12,6.0,53.34,1582656817.0,Technology Services,Data Processing Services
CSIQ,44.19,8.0,22.07,1426510136.9999998,Electronic Technology,Semiconductors
CSL,266.88,6.0,342.74,16685749074.0,Producer Manufacturing,Building Products
CSTM,16.79,9.0,19.16,2764818441.9999995,Commercial Services,Miscellaneous Commercial Services
CSWI,170.96,6.0,226.78,3522453903.0,Process Industries,Industrial Specialties
CTAS,523.52,10.0,617.16,62562393381.00001,Consumer Services,Other Consumer Services
CTLT,83.86,7.0,56.55,10220715151.0,Health Technology,Pharmaceuticals: Major
CTOS,8.58,4.0,6.78,1646728760.0,Finance,Finance/Rental/Leasing
CTRA,27.91,10.0,24.5,18428696930.0,Energy Minerals,Integrated Oil
CTRE,19.96,7.0,21.0,2501354073.0,Finance,Real Estate Investment Trusts
CTS,41.69,6.0,44.19,1376873283.0,Electronic Technology,Electronic Production Equipment
CTSH,74.59,5.0,78.3,38993401520.0,Technology Services,Information Technology Services
CUBE,35.13,7.0,44.06,9907374291.0,Finance,Real Estate Investment Trusts
CUZ,29.96,6.0,22.9,3475607817.0,Finance,Real Estate Investment Trusts
CVCO,305.05,4.0,354.0,2954702665.0,Consumer Durables,Homebuilding
CVE,16.76,9.0,16.3,30912837336.83683,Energy Minerals,Integrated Oil
CVI,30.31,8.0,35.02,3520581711.0,Energy Minerals,Oil Refining/Marketing
CVLT,74.04,7.0,93.92,4100699373.000001,Technology Services,Packaged Software
CVNA,23.56,7.0,52.39,10459630110.0,Retail Trade,Specialty Stores
CVS,110.78,9.0,75.08,94484387978.0,Retail Trade,Drugstore Chains
CVX,166.46,9.0,154.06,289948362641.0,Energy Minerals,Integrated Oil
CW,156.66,8.0,226.45,8659723828.000002,Electronic Technology,Aerospace & Defense
CWAN,0.0,5.0,19.01,4618486706.0,Technology Services,Packaged Software
CWEN,34.09,6.0,22.94,4579636142.0,Utilities,Alternative Power Generation
CWEN.A,31.94,2.0,21.32,4579636142.0,Utilities,Alternative Power Generation
CWH,18.41,10.0,24.5,2064031200.0,Retail Trade,Specialty Stores
CWK,14.26,1.0,10.16,2308893917.0,Finance,Real Estate Development
CWST,95.88,3.0,87.28,5060714458.000001,Industrial Services,Environmental Services
CWT,59.82,1.0,46.66,2692795183.0,Utilities,Water Utilities
CX,6.85,9.0,7.98,12026807790.1218,Non-Energy Minerals,Construction Materials
CXM,0.0,4.0,12.85,3519492613.9999995,Technology Services,Packaged Software
CXT,0.0,5.0,59.16,3360474581.0,Producer Manufacturing,Industrial Machinery
CZR,56.19,7.0,44.25,9545198181.0,Consumer Services,Casinos/Gaming
D,84.63,7.0,44.18,36969680800.0,Utilities,Electric Utilities
DAC,85.29,8.0,74.01,1442973557.0000002,Transportation,Marine Shipping
DAL,50.02,10.0,40.35,25963748820.000004,Transportation,Airlines
DAN,18.59,2.0,13.5,1948565025.0,Producer Manufacturing,Auto Parts: OEM
DAR,102.48,7.0,41.11,6558372441.000001,Consumer Non-Durables,Food: Specialty/Candy
DASH,107.42,7.0,118.3,47108084788.00001,Transportation,Air Freight/Couriers
DAWN,,5.0,15.23,1325663793.0,Health Technology,Pharmaceuticals: Major
DBD,0.0,4.0,30.94,1162312773.0,Electronic Technology,Electronic Equipment/Instruments
DBRG,22.22,10.0,19.89,3496387715.0,Finance,Real Estate Investment Trusts
DBX,29.27,6.0,32.78,11333959332.0,Technology Services,Data Processing Services
DCBO,59.48,7.0,45.37,1439015621.9823036,Technology Services,Packaged Software
DCI,65.5,4.0,67.05,8055100857.000001,Producer Manufacturing,Auto Parts: OEM
DCPH,16.09,4.0,14.17,1144936913.9999998,Health Technology,Biotechnology
DD,76.78,4.0,67.1,28855851831.0,Process Industries,Chemicals: Major Diversified
DDS,335.45,6.0,395.12,6409566994.000001,Retail Trade,Department Stores
DE,517.85,9.0,385.83,108028475300.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
DEA,18.68,8.0,11.77,1120514963.0,Finance,Real Estate Investment Trusts
DECK,580.26,7.0,832.42,21366739687.0,Consumer Non-Durables,Apparel/Footwear
DEI,24.21,2.0,13.63,2272635305.0,Finance,Real Estate Investment Trusts
DELL,47.47,8.0,84.8,59897227989.0,Electronic Technology,Computer Processing Hardware
DEO,239.12,7.0,147.73,82376203009.4724,Consumer Non-Durables,Beverages: Alcoholic
DFH,15.99,8.0,31.6,2942221647.0,Consumer Durables,Homebuilding
DFIN,36.71,7.0,64.29,1871330281.0000005,Technology Services,Packaged Software
DG,273.58,3.0,135.65,29774801086.0,Retail Trade,Discount Stores
DGII,29.09,2.0,29.27,1061231127.9999998,Electronic Technology,Telecommunications Equipment
DGX,137.46,7.0,126.54,14227524694.0,Health Services,Services to the Health Industry
DH,0.0,5.0,9.06,1408449127.0,Technology Services,Packaged Software
DHI,122.07,5.0,144.58,47974144578.0,Consumer Durables,Homebuilding
DHT,10.21,10.0,10.99,1787560288.0,Transportation,Marine Shipping
DINO,58.09,9.0,58.56,12853616493.0,Energy Minerals,Oil Refining/Marketing
DIOD,75.6,6.0,68.74,3157794261.0,Electronic Technology,Semiconductors
DIS,118.69,9.0,110.54,202761950319.0,Consumer Services,Movies/Entertainment
DK,33.86,4.0,28.11,1797171322.0,Energy Minerals,Oil Refining/Marketing
DKL,62.29,5.0,44.33,1932630575.0,Industrial Services,Oil & Gas Pipelines
DKNG,41.0,8.0,42.81,19959818236.0,Consumer Services,Movies/Entertainment
DKS,147.47,9.0,159.97,13076687912.0,Retail Trade,Specialty Stores
DLO,0.0,8.0,16.45,4871911486.0,Technology Services,Packaged Software
DLR,144.74,4.0,147.06,44537426336.0,Finance,Real Estate Investment Trusts
DLTR,158.31,9.0,140.9,30698154028.0,Retail Trade,Discount Stores
DMLP,34.45,8.0,29.94,1185122242.0,Miscellaneous,Investment Trusts/Mutual Funds
DNA,0.0,5.0,1.3,2753967510.0,Health Services,Medical/Nursing Services
DNB,15.49,8.0,11.04,4846113572.0,Technology Services,Packaged Software
DNLI,70.23,4.0,17.2,2376985726.0,Health Technology,Biotechnology
DNN,0.68,6.0,2.0,1777212440.1486988,Non-Energy Minerals,Other Metals/Minerals
DNOW,14.03,8.0,9.78,1039918656.0,Distribution Services,Wholesale Distributors
DNUT,16.43,3.0,13.52,2279472160.0,Distribution Services,Food Distributors
DOC,17.75,8.0,11.9,2839278063.0,Finance,Real Estate Investment Trusts
DOCN,58.55,7.0,36.74,3159968379.9999995,Technology Services,Packaged Software
DOCS,43.59,6.0,28.24,5250092205.0,Technology Services,Packaged Software
DOCU,85.41,9.0,51.145,10430198574.000002,Technology Services,Packaged Software
DOLE,0.0,4.0,11.0,1043891121.0000002,Distribution Services,Food Distributors
DOOO,101.06,8.0,69.46,5265527818.366163,Producer Manufacturing,Trucks/Construction/Farm Machinery
DOOR,99.48,1.0,96.61,2108987830.0,Producer Manufacturing,Building Products
DORM,139.53,4.0,81.66,2571319611.9999995,Consumer Durables,Automotive Aftermarket
DOV,149.93,7.0,160.11,22397809875.0,Producer Manufacturing,Industrial Machinery
DOW,50.61,8.0,53.88,37839572215.0,Process Industries,Chemicals: Specialty
DOX,100.58,10.0,89.5,10463454887.0,Technology Services,Information Technology Services
DPZ,427.86,9.0,426.58,14880891867.0,Consumer Services,Restaurants
DQ,60.36,2.0,19.5,1462104930.0,Process Industries,Chemicals: Specialty
DRH,16.31,5.0,9.27,1949947964.0,Finance,Real Estate Investment Trusts
DRI,178.97,8.0,168.18,20082509551.0,Consumer Services,Restaurants
DRVN,42.43,7.0,13.35,2188855560.0,Consumer Services,Other Consumer Services
DSGR,30.61,5.0,33.46,1567466118.0000002,Distribution Services,Wholesale Distributors
DT,60.44,7.0,56.07,17067397852.0,Technology Services,Packaged Software
DTE,101.81,3.0,104.23,21498347915.0,Utilities,Electric Utilities
DTM,55.47,5.0,51.72,5015341457.000001,Industrial Services,Oil & Gas Pipelines
DUK,113.5,6.0,92.65,71406443049.0,Utilities,Electric Utilities
DUOL,0.0,7.0,185.26,7789022508.000001,Technology Services,Packaged Software
DV,40.63,8.0,42.33,7195509955.000001,Technology Services,Packaged Software
DVA,109.6,10.0,110.82,10117866309.999998,Health Services,Medical/Nursing Services
DVAX,7.15,9.0,12.88,1664879750.0000002,Health Technology,Biotechnology
DVN,46.09,6.0,42.41,27172087420.0,Energy Minerals,Oil & Gas Production
DXC,31.15,7.0,22.05,4032297384.0,Technology Services,Data Processing Services
DXCM,154.69,10.0,127.05,49088809225.0,Health Technology,Medical Specialties
DY,115.45,10.0,116.14,3407354435.0000005,Industrial Services,Engineering & Construction
E,30.51,6.0,30.98,51757384543.23154,Energy Minerals,Oil Refining/Marketing
EA,144.65,9.0,138.85,37121613540.0,Technology Services,Packaged Software
EAT,41.04,2.0,45.04,1991989672.0,Consumer Services,Restaurants
EBAY,57.68,6.0,42.02,21808380238.0,Retail Trade,Internet Retail
EBR.B,7.62,6.0,9.51,19997312468.3368,Utilities,Electric Utilities
EC,20.9,7.0,11.91,24341905958.906254,Energy Minerals,Integrated Oil
ECL,198.26,6.0,202.89,57852014056.0,Process Industries,Chemicals: Specialty
ECPG,50.79,5.0,50.22,1181606164.0,Finance,Finance/Rental/Leasing
ECVT,12.42,5.0,9.38,1089176513.0,Process Industries,Chemicals: Specialty
ED,89.85,2.0,88.67,30610637934.0,Utilities,Electric Utilities
EDN,1.06,6.0,16.83,1170114496.048512,Utilities,Electric Utilities
EDR,31.48,6.0,24.2,16891965563.999996,Consumer Services,Media Conglomerates
EDU,54.43,6.0,86.72,13560866443.983318,Consumer Services,Other Consumer Services
EE,0.0,6.0,13.98,1513790064.0,Utilities,Gas Distributors
EEFT,130.67,9.0,101.09,4662415519.0,Technology Services,Data Processing Services
EFX,224.2,8.0,252.06,31058019750.0,Commercial Services,Miscellaneous Commercial Services
EGO,9.73,10.0,12.16,2466864164.185819,Non-Energy Minerals,Precious Metals
EGP,194.35,6.0,184.96,8569275062.000001,Finance,Real Estate Investment Trusts
EHC,68.01,6.0,73.45,7362686377.0,Health Services,Medical/Nursing Services
EIX,67.8,7.0,64.72,24824568388.0,Utilities,Electric Utilities
EL,232.94,3.0,140.77,50462303489.0,Consumer Non-Durables,Household/Personal Care
ELF,82.49,6.0,171.54,9521659277.999998,Consumer Non-Durables,Household/Personal Care
ELME,23.92,3.0,14.4,1264789566.0,Finance,Real Estate Investment Trusts
ELS,74.59,6.0,66.43,12382068144.0,Finance,Real Estate Investment Trusts
EME,187.85,9.0,242.0,11384754776.0,Industrial Services,Engineering & Construction
EMN,88.35,9.0,82.99,9839627621.0,Process Industries,Chemicals: Major Diversified
EMR,104.76,10.0,102.38,58530645680.0,Electronic Technology,Electronic Equipment/Instruments
ENB,34.23,9.0,34.35,73013484005.8539,Industrial Services,Oil & Gas Pipelines
ENFN,0.0,2.0,8.13,1036401110.9999998,Technology Services,Packaged Software
ENIC,2.62,6.0,2.77,3899334127.500001,Utilities,Electric Utilities
ENLC,9.46,9.0,11.95,5459374626.0,Industrial Services,Oil & Gas Pipelines
ENLT,36.74,4.0,17.17,2025430007.878826,Utilities,Alternative Power Generation
ENOV,64.68,10.0,60.53,3304583404.0,Producer Manufacturing,Industrial Machinery
ENPH,280.43,4.0,116.88,15960106657.0,Electronic Technology,Semiconductors
ENS,89.87,5.0,90.87,3672599984.0,Producer Manufacturing,Electrical Products
ENSG,116.95,9.0,118.06,6689957240.0,Health Services,Medical/Nursing Services
ENTG,123.09,6.0,124.75,18732321499.000004,Producer Manufacturing,Industrial Machinery
ENVA,64.7,5.0,54.57,1587400811.0,Finance,Finance/Rental/Leasing
ENVX,0.0,3.0,10.7,1795183260.0,Producer Manufacturing,Electrical Products
EOG,118.59,6.0,113.06,65930892032.0,Energy Minerals,Oil & Gas Production
EPAC,28.06,4.0,31.38,1698579637.0000002,Producer Manufacturing,Industrial Machinery
EPAM,373.67,6.0,287.17,16569846926.999998,Technology Services,Information Technology Services
EPC,43.76,6.0,39.47,1970860186.0,Consumer Non-Durables,Household/Personal Care
EPR,46.57,6.0,42.59,3208280744.0,Finance,Real Estate Investment Trusts
EPRT,27.87,10.0,24.63,3856517553.0,Finance,Real Estate Investment Trusts
EQC,28.46,3.0,18.81,2007253486.0,Finance,Real Estate Investment Trusts
EQIX,832.18,5.0,855.33,80301309672.0,Finance,Real Estate Investment Trusts
EQNR,40.27,8.0,26.37,78466773662.5138,Energy Minerals,Integrated Oil
EQR,78.39,3.0,59.2,22479717038.0,Finance,Real Estate Investment Trusts
EQT,20.11,6.0,34.75,14293787025.0,Energy Minerals,Oil & Gas Production
EQX,5.86,8.0,4.33,1355207447.5119865,Non-Energy Minerals,Precious Metals
ERF,18.06,10.0,15.5,3185706489.8752403,Energy Minerals,Integrated Oil
ERIC,8.47,7.0,5.39,17924595919.871403,Electronic Technology,Telecommunications Equipment
ERJ,15.75,6.0,17.59,3219019946.0694,Electronic Technology,Aerospace & Defense
ERO,19.4,4.0,15.61,1458560581.5987625,Non-Energy Minerals,Other Metals/Minerals
ES,96.57,4.0,54.07,18888069307.000004,Utilities,Electric Utilities
ESE,108.55,6.0,103.84,2679608963.0,Electronic Technology,Electronic Equipment/Instruments
ESI,20.43,4.0,22.73,5489665653.0,Process Industries,Chemicals: Major Diversified
ESLT,147.03,7.0,204.47,9089478666.981071,Electronic Technology,Aerospace & Defense
ESRT,9.96,5.0,9.71,1577680023.0,Finance,Real Estate Investment Trusts
ESTA,86.34,2.0,38.36,1043079919.9999998,Health Technology,Medical Specialties
ESTC,108.52,3.0,126.54,12607242696.0,Technology Services,Packaged Software
ET,11.55,10.0,13.91,46773970605.00001,Industrial Services,Oil & Gas Pipelines
ETN,188.15,9.0,273.21,109092746253.0,Producer Manufacturing,Electrical Products
ETR,106.11,5.0,97.4,20597478655.0,Utilities,Electric Utilities
ETRN,8.74,10.0,10.23,4432259691.999999,Industrial Services,Oil & Gas Pipelines
ETSY,133.68,7.0,74.49,8919898771.0,Retail Trade,Internet Retail
ETWO,6.77,3.0,3.86,1320484719.0000002,Technology Services,Packaged Software
EURN,24.26,8.0,17.78,3585834275.521358,Transportation,Marine Shipping
EVCM,0.0,1.0,9.98,1882813045.0,Technology Services,Packaged Software
EVEX,,6.0,6.39,1721204224.9999998,Electronic Technology,Aerospace & Defense
EVH,40.32,10.0,30.63,3521215094.0,Commercial Services,Miscellaneous Commercial Services
EVO,16.55,2.0,7.68,2702754342.61558,Health Technology,Pharmaceuticals: Major
EVRG,42.75,7.0,48.62,11169022566.0,Utilities,Electric Utilities
EVTC,49.81,6.0,40.62,2625307918.0,Finance,Regional Banks
EW,110.34,9.0,85.8,52037701851.0,Health Technology,Medical Specialties
EXAS,85.77,8.0,60.98,11028229567.0,Health Technology,Medical Specialties
EXC,43.11,6.0,33.75,33596013565.0,Utilities,Electric Utilities
EXEL,24.18,9.0,20.17,6115427932.0,Health Technology,Pharmaceuticals: Major
EXLS,38.89,8.0,30.64,5053233266.0,Technology Services,Data Processing Services
EXP,196.9,10.0,243.38,8384499844.0,Non-Energy Minerals,Construction Materials
EXPD,82.76,5.0,127.18,18490620602.0,Transportation,Air Freight/Couriers
EXPI,20.93,2.0,12.03,1850199678.0,Finance,Real Estate Development
EXPO,108.51,1.0,78.63,3980442044.999999,Industrial Services,Engineering & Construction
EXR,144.84,7.0,143.47,30312030819.0,Finance,Real Estate Investment Trusts
EXTR,15.79,2.0,12.37,1592395129.0000002,Electronic Technology,Computer Peripherals
EYE,46.83,2.0,19.94,1560217718.9999998,Retail Trade,Specialty Stores
F,16.13,9.0,12.83,51357904274.0,Consumer Durables,Motor Vehicles
FA,0.0,6.0,16.64,2414796629.9999995,Commercial Services,Miscellaneous Commercial Services
FANG,158.33,8.0,153.48,27470603077.0,Energy Minerals,Oil & Gas Production
FBRT,17.56,5.0,12.29,1008679393.0,Finance,Real Estate Investment Trusts
FCFS,117.86,6.0,116.95,5275369955.0,Finance,Finance/Rental/Leasing
FCN,204.91,6.0,194.18,6895277881.0,Commercial Services,Miscellaneous Commercial Services
FCPT,28.66,5.0,22.94,2077565580.0,Finance,Real Estate Investment Trusts
FCX,41.8,9.0,38.12,54663212951.00001,Non-Energy Minerals,Other Metals/Minerals
FDP,27.05,6.0,23.91,1150729397.0,Process Industries,Agricultural Commodities/Milling
FDS,477.0,1.0,470.06,17902887277.999996,Technology Services,Data Processing Services
FDX,246.69,7.0,241.75,60411523384.0,Transportation,Air Freight/Couriers
FE,42.05,5.0,35.79,20536832909.0,Utilities,Electric Utilities
FELE,97.52,6.0,97.72,4507640357.0,Producer Manufacturing,Industrial Machinery
FERG,165.3,,197.64,40217695199.0,Distribution Services,Wholesale Distributors
FFIV,176.88,4.0,185.23,10892677479.0,Technology Services,Packaged Software
FHI,43.53,10.0,34.98,3017194599.9999995,Finance,Investment Managers
FI,133.17,6.0,143.55,86156654609.0,Finance,Regional Banks
FICO,705.51,7.0,1321.44,32840500090.000004,Technology Services,Packaged Software
FINV,5.7,6.0,4.71,1331231367.0,Finance,Finance/Rental/Leasing
FIS,84.99,7.0,61.44,36402194186.0,Technology Services,Packaged Software
FIVE,229.69,6.0,186.1,10271374480.0,Retail Trade,Discount Stores
FIVN,124.68,6.0,75.61,5496539925.0,Technology Services,Packaged Software
FIZZ,50.28,5.0,47.24,4411873476.0,Consumer Non-Durables,Beverages: Non-Alcoholic
FL,36.96,5.0,29.15,2744816556.0,Retail Trade,Apparel/Footwear Retail
FLEX,17.58,10.0,25.54,10756508718.0,Electronic Technology,Electronic Production Equipment
FLNC,0.0,2.0,21.58,3846169458.000001,Producer Manufacturing,Electrical Products
FLNG,31.31,6.0,26.17,1379215029.0,Transportation,Marine Shipping
FLR,28.08,9.0,40.07,6826929867.0,Industrial Services,Engineering & Construction
FLS,41.34,8.0,41.34,5424164294.999999,Producer Manufacturing,Industrial Machinery
FLT,301.06,10.0,265.12,19142757122.0,Commercial Services,Miscellaneous Commercial Services
FLYW,0.0,5.0,21.71,2635880105.0,Finance,Regional Banks
FMC,98.14,9.0,52.04,6492452658.0,Process Industries,Chemicals: Agricultural
FMS,25.91,4.0,19.71,11504208136.59122,Health Services,Medical/Nursing Services
FMX,236.53,9.0,139.47,30089656443.8607,Consumer Non-Durables,Beverages: Non-Alcoholic
FN,146.71,8.0,196.07,7118994081.0,Electronic Technology,Semiconductors
FNA,0.0,3.0,14.28,1180973148.0,Health Technology,Medical Specialties
FND,104.59,8.0,106.46,11345430699.0,Retail Trade,Home Improvement Chains
FNV,137.4,8.0,108.5,20844955948.08311,Non-Energy Minerals,Precious Metals
FOLD,14.21,8.0,13.33,3908965933.000001,Health Technology,Pharmaceuticals: Major
FOR,23.52,9.0,31.69,1581756358.0,Finance,Real Estate Development
FORM,33.55,5.0,38.96,3032724360.0,Electronic Technology,Semiconductors
FORTY,99.89,5.0,66.0296,1033000941.15036,Technology Services,Information Technology Services
FOUR,121.18,10.0,75.99,6267779346.999999,Commercial Services,Miscellaneous Commercial Services
FOX,37.1,1.0,26.62,13472122079.0,Consumer Services,Broadcasting
FOXA,40.39,1.0,28.78,13472122079.0,Consumer Services,Broadcasting
FR,62.21,7.0,53.6,7271779100.0,Finance,Real Estate Investment Trusts
FRHC,145.41,5.0,81.43,4858047952.0,Finance,Investment Banks/Brokers
FRO,12.35,8.0,22.08,4915513489.0,Transportation,Marine Shipping
FROG,34.66,7.0,37.91,3976267061.0,Technology Services,Packaged Software
FRPT,107.85,8.0,87.61,4226472677.0,Consumer Non-Durables,Food: Specialty/Candy
FRSH,0.0,9.0,21.36,6305580362.0,Technology Services,Packaged Software
FRT,112.44,6.0,102.06,8395311731.0,Finance,Real Estate Investment Trusts
FSLR,127.71,6.0,143.17,15296885030.0,Electronic Technology,Semiconductors
FSLY,19.39,5.0,23.27,3043716130.9999995,Technology Services,Information Technology Services
FSS,60.59,6.0,77.96,4750010279.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
FSV,173.81,6.0,166.06,7411694193.745227,Finance,Real Estate Development
FTAI,50.0,9.0,52.88,5300589527.0,Finance,Investment Managers
FTDR,35.76,5.0,32.48,2586113904.0,Consumer Durables,Homebuilding
FTI,11.26,7.0,19.25,8382607772.999999,Industrial Services,Oilfield Services/Equipment
FTNT,84.65,4.0,67.85,52102665658.99999,Technology Services,Information Technology Services
FTRE,0.0,10.0,31.48,2795424055.0,Commercial Services,Miscellaneous Commercial Services
FTS,48.37,4.0,38.94,19022189944.2759,Utilities,Electric Utilities
FTV,75.11,9.0,82.24,28901895489.0,Electronic Technology,Electronic Equipment/Instruments
FUL,70.14,6.0,76.22,4131731222.999999,Process Industries,Industrial Specialties
FUN,54.19,8.0,41.54,2119172629.0,Consumer Services,Movies/Entertainment
FUTU,74.3,10.0,48.17,6727184942.0,Finance,Investment Banks/Brokers
FVRR,38.04,5.0,27.76,1065403317.9999998,Technology Services,Data Processing Services
FWONA,88.79,6.0,59.39,28474482718.0,Consumer Services,Movies/Entertainment
FWONK,98.69,6.0,66.02,28474482718.0,Consumer Services,Movies/Entertainment
FWRG,0.0,7.0,22.88,1368627342.0,Consumer Services,Restaurants
FYBR,31.34,6.0,22.885,5624881355.0,Communications,Major Telecommunications
G,50.17,7.0,34.94,6338548982.0,Commercial Services,Miscellaneous Commercial Services
GATX,117.58,7.0,125.74,4463769924.0,Transportation,Railroads
GBTG,0.0,5.0,5.98,2792796515.0,Consumer Services,Other Consumer Services
GBX,53.13,8.0,47.93,1490181747.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
GCMG,5.21,7.0,8.7,1628847107.0,Finance,Investment Managers
GD,242.96,9.0,269.0,73598385223.00002,Electronic Technology,Aerospace & Defense
GDDY,95.69,6.0,112.59,15889883385.999998,Technology Services,Data Processing Services
GDEN,38.99,7.0,38.41,1099163603.0,Consumer Services,Movies/Entertainment
GDRX,9.19,8.0,6.53,2652044197.0,Technology Services,Internet Software/Services
GDS,33.43,3.0,5.8,1052347764.2231398,Technology Services,Data Processing Services
GE,84.64,8.0,139.05,151332877796.0,Producer Manufacturing,Industrial Machinery
GEF,60.48,5.0,62.57,2932665608.0,Process Industries,Containers/Packaging
GEF.B,61.01,4.0,62.76,2932665608.0,Process Industries,Containers/Packaging
GEHC,0.0,9.0,82.06,37366611397.0,Health Technology,Medical Specialties
GEN,28.36,8.0,20.87,13292310399.999998,Technology Services,Packaged Software
GERN,0.46,2.0,1.91,1037252154.9999998,Health Technology,Biotechnology
GES,21.93,8.0,23.03,1236717819.0,Consumer Non-Durables,Apparel/Footwear
GFF,32.07,6.0,67.55,3441416828.0,Producer Manufacturing,Building Products
GFI,12.55,7.0,13.75,12274208247.0784,Non-Energy Minerals,Precious Metals
GFL,37.57,4.0,35.29,13056770814.969046,Industrial Services,Environmental Services
