Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
SCVL,"Shoe Carnival, Inc.",22.21,-0.49283154,-0.11,Sell,675478,15002366.38,607658853,6.77960928,3.3035,Retail Trade,Apparel/Footwear Retail
SCU,"Sculptor Capital Management, Inc.",12.02,-0.24896266,-0.03,Buy,781566,9394423.32,697340507,,-0.3566,Finance,Investment Managers
SCTL,"Societal CDMO, Inc.",0.5169,-2.28733459,-0.0121,Sell,816615,422108.2935,54154208,,-0.3048,Health Technology,Pharmaceuticals: Major
SCSC,"ScanSource, Inc.",30.28,1.0343677,0.31,Buy,479729,14526194.12,752282513.0000001,8.73125721,3.5009,Distribution Services,Electronics Distributors
SCS,Steelcase Inc.,8.84,-0.78563412,-0.07,Buy,1108990,9803471.6,1007787057.9999998,21.85414091,0.406,Producer Manufacturing,Office Equipment/Supplies
SCRMU,Screaming Eagle Acquisition Corp.,10.5,0,0,Buy,1100,11550,978749961,,,Finance,Financial Conglomerates
SCRM,Screaming Eagle Acquisition Corp.,10.44,-0.04786979,-0.005,Buy,132005,1378132.2,978749961,34.41001978,0.3034,Finance,Financial Conglomerates
SCRD,Janus Henderson Sustainable Corporate Bond ETF,39.747,-0.25846926,-0.103,Sell,200,7949.4,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCPL,SciPlay Corporation,22.78,0.13186813,0.03,Buy,200042,4556956.76,2842247053,22.80736884,1.0383,Technology Services,Packaged Software
SCPH,scPharmaceuticals Inc.,7.02,-1.81818182,-0.13,Strong Sell,550371,3863604.42,251716476.99999997,,-1.3291,Health Technology,Pharmaceuticals: Major
SCOR,"comScore, Inc.",0.6003,-7.64615385,-0.0497,Strong Sell,383552,230246.2656,57080328,,-1.287,Technology Services,Packaged Software
SCO,ProShares UltraShort Bloomberg Crude Oil,16.28,0.06146281,0.01,Sell,4617861,75178777.08,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCNI,Scinai Immunotherapeutics Ltd.,0.98,-15.51724138,-0.18,Strong Sell,181338,177711.24,3562228,,,Health Technology,Pharmaceuticals: Other
SCMB,Schwab Strategic Trust Schwab Municipal Bond ETF,50.5431,-0.00573735,-0.0029,Sell,7132,360473.3892,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCM,Stellus Capital Investment Corporation,13.9,-0.28694405,-0.04,Strong Sell,325780,4528342,313554873.99999994,16.96156193,0.8195,Finance,Investment Managers
SCLX,Scilex Holding Company,2.25,0.44642857,0.01,Sell,5398861,12147437.25,335374592,,-0.6273,Health Technology,Pharmaceuticals: Major
SCL,Stepan Company,81.76,1.08803165,0.88,Sell,364186,29775847.36000001,1827431516.9999995,23.79649572,3.4749,Process Industries,Chemicals: Specialty
SCKT,"Socket Mobile, Inc.",1.22,-0.81300813,-0.01,Strong Sell,11055,13487.1,8934599,,-0.2557,Electronic Technology,Computer Peripherals
SCJ,iShares MSCI Japan Sm Cap,70.5,-0.66435118,-0.4715,Buy,10660,751530,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCI,Service Corporation International,60.74,-1.3961039,-0.86,Strong Sell,2258268,137167198.32,9167773468.999998,19.31135345,3.1892,Consumer Services,Other Consumer Services
SCHZ,Schwab US Aggregate Bond ETF,44.91,-0.22217285,-0.1,Strong Sell,877567,39411533.97,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHY,Schwab International Dividend Equity ETF,23.83,-0.33458804,-0.08,Buy,60366,1438521.78,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHX,Schwab U.S. Large-Cap ETF,52.64,-1.2012012,-0.64,Neutral,1230923,64795786.72,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHW/PJ,"The Charles Schwab Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of 4.450% Non-Cumulative Perpetual Preferred Stock, Series J",19.46,-0.25627883,-0.05,Neutral,50528,983274.88,106025218519,5.65467542,3.4557,Finance,Investment Banks/Brokers
SCHW/PD,"The Charles Schwab Corporation Depositary Shares each representing 1/40th interest in a share of 5.95% Non-Cumulative Perpetual Preferred Stock, Series D",24.88,-0.44017607,-0.11,Buy,66158,1646011.04,106025218519,7.22961585,3.4557,Finance,Investment Banks/Brokers
SCHW,Charles Schwab Corporation (The),58.22,-2.57697456,-1.54,Sell,23653414,1377101763.08,106025218519,16.91753356,3.4557,Finance,Investment Banks/Brokers
SCHV,Schwab U.S. Large-Cap Value ETF,67.33,-0.86866902,-0.59,Buy,280298,18872464.34,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHR,Schwab Intermediate-Term U.S. Treasury ETF,48.31,-0.16532341,-0.08,Strong Sell,777904,37580542.24,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHQ,Schwab Long-Term U.S. Treasury ETF,33.1,-0.57074196,-0.19,Strong Sell,166220,5501882,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHP,Schwab U.S. TIPs ETF,51.18,-0.25336192,-0.13,Strong Sell,2512309,128579974.62,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHO,Schwab Short-Term U.S. Treasury ETF,47.87,-0.02088555,-0.01,Sell,1313471,62875856.77,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHM,Schwab U.S. Mid Cap ETF,69.94,-0.92081031,-0.65,Sell,258392,18071936.48,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHL,Scholastic Corporation,39.7,-5.02392344,-2.1,Strong Sell,1046465,41544660.5,1255825617,16.03004119,2.595,Consumer Services,Publishing: Books/Magazines
SCHK,Schwab 1000 Index ETF,42.96,-1.12773303,-0.49,Neutral,129017,5542570.32,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHJ,Schwab 1-5 Year Corporate Bond ETF,47.085,-0.03184713,-0.015,Strong Sell,27059,1274073.015,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHI,Schwab 5-10 Year Corporate Bond ETF,42.87,-0.1862631,-0.08,Strong Sell,240399,10305905.13,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHH,Schwab U.S. REIT ETF,19.16,-0.36401456,-0.07,Neutral,2767117,53017961.72,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHG,Schwab U.S. Large-Cap Growth ETF,75.42,-1.54046997,-1.18,Sell,916470,69120167.4,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHF,Schwab International Equity ETF,35.3,-0.19790783,-0.07,Buy,2578959,91037252.69999997,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHE,Schwab Emerging Markets Equity ETF,24.55,-0.56703119,-0.14,Sell,1053853,25872091.15,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHD,Schwab US Dividend Equity ETF,73.63,-0.95507129,-0.71,Sell,2711238,199628453.94,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHC,Schwab International Small-Cap Equity ETF,33.54,-0.35650624,-0.12,Neutral,256650,8608041,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHB,Schwab U.S. Broad Market ETF,51.86,-1.12488084,-0.59,Neutral,583593,30265132.98,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCHA,Schwab U.S. Small-Cap ETF,42.99,-0.967519,-0.42,Sell,555863,23896550.37,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCE/PL,SCE TRUST VI,18.14,0.88987764,0.16,Sell,30694,556789.16,,,,Finance,Finance/Rental/Leasing
SCE/PK,Southern California Edison Company 5.45% Fixed-to-Floating Rate Trust Preference Securities,22.6,-0.44052863,-0.1,Buy,10198,230474.8,,,,Finance,Finance/Rental/Leasing
SCE/PJ,Southern California Edison Company 5.375% Fixed-to-Floating Rate Trust Preference Securities,20.67,-0.38554217,-0.08,Buy,18878,390208.26,,,,Finance,Finance/Rental/Leasing
SCE/PH,SCE Trust III Fixed/Floating Rate Trust Preference Securities,24.11,0,0,Buy,20634,497485.74,,,,Finance,Finance/Rental/Leasing
SCE/PG,SCE Trust II Trust Preferred Securities,18.52,-0.21551724,-0.04,Sell,20311,376159.72,296320000,,,Finance,Finance/Rental/Leasing
SCDL,ETRACS 2x Leveraged US Dividend Factor TR ETN,31.2733,0.31563854,0.0984,Sell,467,14604.6311,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCD,LMP Capital and Income Fund Inc.,12.93,0.15491867,0.02,Neutral,34230,442593.9,,,,Miscellaneous,Investment Trusts/Mutual Funds
SCCO,Southern Copper Corporation,79.77,-0.54856003,-0.44,Buy,1639589,130790014.52999999,61670825135,22.16695382,3.5986,Non-Energy Minerals,Other Metals/Minerals
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,23.15,-1.19504908,-0.28,Sell,12994,300811.1,170049105,51.859319,0.4465,Finance,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,22.434,-0.02673797,-0.006,Buy,2448,54918.432,170049105,50.25537634,0.4465,Finance,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,21.61,-0.64413497,-0.1401,Neutral,16592,358553.12,170049105,48.40949821,0.4465,Finance,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,22,0.91743119,0.2,Buy,2094,46068,170049105,49.28315412,0.4465,Finance,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,24.24,-0.24691358,-0.06,Neutral,1225,29694,170049105,54.30107527,0.4465,Finance,Real Estate Investment Trusts
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,24.75,1.02040816,0.25,Sell,2854,70636.5,170049105,55.44354839,0.4465,Finance,Real Estate Investment Trusts
SCC,ProShares UltraShort Consumer Discretionary,17.0672,3.47143914,0.5726,Sell,4425,75522.36,,,,Miscellaneous,Investment Trusts/Mutual Funds
SBXC.U,SilverBox Corp III,10.25,0,0,Buy,200,2050,176813000,,,Finance,Financial Conglomerates
SBXC,SilverBox Corp III,10.2,-0.09794319,-0.01,Buy,753,7680.6,175950000,,,Finance,Financial Conglomerates
SBUX,Starbucks Corporation,96.23,-0.95718403,-0.93,Sell,8767573,843703742.25,110221848193.99998,29.3008952,3.297,Consumer Services,Restaurants
SBT,"Sterling Bancorp, Inc.",6.13,3.02521008,0.18,Buy,311808,1911383.04,319226378,103.1986532,0.0596,Finance,Regional Banks
SBSW,D/B/A Sibanye-Stillwater Limited,6.64,4.07523511,0.26,Buy,5682679,37732988.56,4716358911.3204,6.05949991,1.096,Non-Energy Minerals,Precious Metals
SBSI,"Southside Bancshares, Inc.",29.58,-1.59680639,-0.48,Sell,528904,15644980.32,903130791.0000002,8.85920513,3.3469,Finance,Regional Banks
SBS,Companhia de saneamento Basico Do Estado De Sao Paulo - Sabesp,12.33,-1.90930788,-0.24,Buy,3680413,45379492.29,8409974073.259998,13.54052273,0.9106,Utilities,Water Utilities
SBRA,"Sabra Health Care REIT, Inc.",13.38,-0.0746826,-0.01,Buy,4434639,59335469.82,3093705676,,-0.5339,Finance,Real Estate Investment Trusts
SBR,Sabine Royalty Trust,64.37,-0.86246727,-0.56,Strong Sell,25260,1625986.2,938472462,8.13605167,7.9117,Miscellaneous,Investment Trusts/Mutual Funds
SBOW,"SilverBow Resources, Inc",35.02,-4.42139738,-1.62,Sell,1372094,48050731.88,792094661.9999999,1.8224017,19.4737,Energy Minerals,Oil & Gas Production
SBND,Columbia Short Duration Bond ETF,17.8855,-0.13679509,-0.0245,Sell,1345,24055.9975,,,,Miscellaneous,Investment Trusts/Mutual Funds
SBLK,Star Bulk Carriers Corp.,18.04,-0.60606061,-0.11,Buy,859627,15507671.08,1861430612.0000005,6.49131014,2.7904,Transportation,Marine Shipping
SBIO,ALPS Medical Breakthroughs ETF,29.0988,-0.96857409,-0.2846,Strong Sell,2579,75045.8052,,,,Miscellaneous,Investment Trusts/Mutual Funds
SBI,Western Asset Intermediate Muni Fund Inc,7.33,-0.27210884,-0.02,Strong Sell,39539,289820.87,103036000,,-0.0834,Miscellaneous,Investment Trusts/Mutual Funds
SBH,"Sally Beauty Holdings, Inc. (Name to be changed from Sally Holdings, Inc.)",9.14,-3.78947368,-0.36,Strong Sell,3749135,34267093.9,985013762.0000002,6.1128946,1.5221,Distribution Services,Medical Distributors
SBGI,"Sinclair, Inc.",12.28,-9.83847283,-1.34,Sell,1591291,19541053.48,778850555,5.23131976,2.3519,Consumer Services,Broadcasting
SBFM,Sunshine Biopharma Inc.,0.3968,2.00514139,0.0078,Sell,29294,11623.8592,10216134,,-1.231,Health Technology,Pharmaceuticals: Major
SBFG,"SB Financial Group, Inc.",14.75,-0.33783784,-0.05,Buy,4286,63218.5,100987527,8.33804409,1.7868,Finance,Regional Banks
SBEV,"Splash Beverage Group, Inc. (NV)",0.79,4.48353392,0.0339,Buy,71788,56712.52,33820312,,-0.4875,Health Services,Medical/Nursing Services
SBET,SharpLink Gaming Ltd.,2.3501,1.29741379,0.0301,Sell,1397,3283.0897,6659558,,-6.2801,Technology Services,Packaged Software
SBCF,Seacoast Banking Corporation of Florida,22.91,0.26258206,0.06,Sell,2240532,51330588.12,1949326331,17.37053605,1.329,Finance,Regional Banks
SBBA,Scorpio Tankers Inc. 7.00% Senior Notes due 2025,24.8403,-0.07924377,-0.0197,Strong Sell,3250,80730.975,3118457909,,,Transportation,Marine Shipping
SBB,ProShares Short SmallCap600,18.3,1.04914412,0.19,Strong Buy,764,13981.2,,,,Miscellaneous,Investment Trusts/Mutual Funds
SBAC,SBA Communications Corporation,218.15,-0.30618773,-0.67,Sell,1003501,218913743.15,23643691577,46.85251605,4.6987,Finance,Real Estate Investment Trusts
SB/PD,"Safe Bulkers, Inc Perpetual Preferred Series D (Marshall Islands)",25.15,0,0,Strong Buy,3020,75953,351528206,26.53513399,0.9478,Transportation,Marine Shipping
SB/PC,"Safe Bulkers, Inc Cumulative Redeemable Perpetual Preferred Series C (Marshall Islands)",25.05,0.72214359,0.1796,Strong Buy,332,8316.6,351528206,26.4296265,0.9478,Transportation,Marine Shipping
SB,"Safe Bulkers, Inc",3.15,0.31847134,0.01,Neutral,752686,2370960.9,351528206,3.32348597,0.9478,Transportation,Marine Shipping
SAZ,Saratoga Investment Corp 8.50% Notes due 2028,25.2,0.24265086,0.061,Strong Buy,4158,104781.6,320730385,11.54480484,2.1828,Finance,Investment Managers
SAY,Saratoga Investment Corp 8.125% Notes due 2027,24.9,-0.2004008,-0.05,Strong Sell,604,15039.6,320730385,11.40736668,2.1828,Finance,Investment Managers
SAVE,"Spirit Airlines, Inc.",16.46,-0.78360458,-0.13,Sell,2015489,33174948.94,1796789383,,-3.7942,Transportation,Airlines
SAVA,"Cassava Sciences, Inc.",19.41,-1.37195122,-0.27,Sell,755821,14670485.61,814637569,,-2.1876,Health Technology,Biotechnology
SAUG,First Trust Exchange-Traded Fund VIII FT Cboe Vest U.S. Small Cap Moderate Buffer ETF - August,20,-0.45145266,-0.0907,Sell,19284,385680,,,,Miscellaneous,Investment Trusts/Mutual Funds
SATX,SatixFy Communications Ltd.,0.79,0,0,Buy,103510,81772.9,63797287,,,Electronic Technology,Semiconductors
SATS,EchoStar Corporation,18.78,-3.24574961,-0.63,Buy,616582,11579409.96,1574690288,13.95452519,1.3458,Communications,Specialty Telecommunications
SATO,Invesco Alerian Galaxy Crypto Economy ETF,8.28,-1.6451862,-0.1385,Sell,2741,22695.48,,,,Miscellaneous,Investment Trusts/Mutual Funds
SATL,Satellogic Inc.,1.4,0,0,Sell,12275,17185,125105448.99999999,,,Electronic Technology,Aerospace & Defense
SAT,Saratoga Investment Corp 6.00% Notes due 2027,23.49,-0.25477707,-0.06,Buy,3097,72748.53,320730385,10.76140737,2.1828,Finance,Investment Managers
SASR,"Sandy Spring Bancorp, Inc.",22.02,0.68587106,0.15,Sell,819590,18047371.8,987869313.9999998,6.89849624,3.2029,Finance,Regional Banks
SASI,"Sigma Additive Solutions, Inc.",0.1774,-3.58695652,-0.0066,Sell,279528,49588.2672,1911079,,-0.6937,Technology Services,Packaged Software
SARK,AXS Short Innovation Daily ETF,36.54,1.21883657,0.44,Neutral,543368,19854666.72,,,,Miscellaneous,Investment Trusts/Mutual Funds
SAR,Saratoga Investment Corp New,25.7,-0.464756,-0.12,Strong Sell,253264,6508884.8,320730385,11.77386843,2.1828,Finance,Investment Managers
SAP,SAP SE,135.24,-0.55151114,-0.75,Sell,770390,104187543.6,158017611751.13184,78.49100406,1.7318,Technology Services,Packaged Software
SANW,S&W Seed Company,1,12.49859377,0.1111,Buy,79377,79377,42963993,5.51267916,0.1879,Process Industries,Agricultural Commodities/Milling
SANM,Sanmina Corporation,52.21,-1.86090226,-0.99,Strong Sell,1198606,62579219.26,2987818891,9.9766873,5.395,Health Technology,Medical Specialties
SANG,Sangoma Technologies Corporation,4.14,2.98507463,0.12,Buy,15824,65511.36,136778849.18918917,,-2.98429234,Electronic Technology,Telecommunications Equipment
SANE,Subversive Mental Health ETF,24.0117,0.50016323,0.1195,Neutral,5,120.0585,,,,Miscellaneous,Investment Trusts/Mutual Funds
SAND,Sandstorm Gold Ltd.,5.21,0.19230769,0.01,Sell,3687759,19213224.39,1542949300.958865,28.90812299,0.18211216,Non-Energy Minerals,Precious Metals
SANA,"Sana Biotechnology, Inc.",4.47,-0.77691454,-0.035,Sell,2194675,9810197.25,880330978,,-1.8936,Health Technology,Biotechnology
SAN,"Banco Santander, S.A. Sponsored",3.67,-1.60857909,-0.06,Sell,1916175,7032362.25,60030712824.19231,6.34289665,0.6412,Finance,Major Banks
SAMT,The Advisors' Inner Circle Fund III Strategas Macro Thematic Opportunities ETF,23.2461,-1.38006228,-0.3253,Buy,2514,58440.6954,,,,Miscellaneous,Investment Trusts/Mutual Funds
SAMG,Silvercrest Asset Management Group Inc.,17.83,-0.05605381,-0.01,Sell,56072,999763.76,247887165,14.58964078,1.2258,Finance,Investment Managers
SAMAU,Schultze Special Purpose Acquisition Corp. II,10.58,-0.75046904,-0.08,Buy,9100,96278,95373571,,,Finance,Financial Conglomerates
SAMA,Schultze Special Purpose Acquisition Corp. II,10.58,-0.56390977,-0.06,Buy,2100,22218,95644775.46729857,78.77885331,0.1343,Finance,Financial Conglomerates
SAM,"Boston Beer Company, Inc. (The)",371.56,-1.20712576,-4.54,Buy,104459,38812786.04,4546302617.000001,70.31261827,5.2916,Consumer Non-Durables,Beverages: Alcoholic
SALM,"Salem Media Group, Inc.",0.5413,-9.02521008,-0.0537,Strong Sell,78786,42646.8618,11726231,,-0.9678,Consumer Services,Broadcasting
SAJ,Saratoga Investment Corp 8.00% Notes due 2027,24.9499,-0.0004008,-0.0001,Sell,641,15992.8859,320730385,11.43022723,2.1828,Finance,Investment Managers
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,109.75,-1.34831461,-1.5,Sell,1850297,203070095.75,5809655335.999999,11.99388012,9.2315,Technology Services,Information Technology Services
SAIA,"Saia, Inc.",406.81,-1.59171726,-6.58,Sell,595008,242055204.48,10794859184.999998,32.3121525,12.6459,Transportation,Trucking
SAI,SAI.TECH Global Corporation,1.2,-3.22580645,-0.04,Sell,34801,41761.2,28612720,,,Technology Services,Data Processing Services
SAH,"Sonic Automotive, Inc.",52.56,-2.79267616,-1.51,Buy,700735,36830631.6,1862830733.0000005,,-0.9592,Retail Trade,Specialty Stores
SAGP,The Advisors' Inner Circle Fund III Strategas Global Policy Opportunities ETF,24.5086,-0.68523404,-0.1691,Strong Sell,3357,82275.3702,,,,Miscellaneous,Investment Trusts/Mutual Funds
SAGE,"Sage Therapeutics, Inc.",21.02,-2.18706375,-0.47,Sell,5578016,117249896.32,1258760481,,-9.9269,Health Technology,Pharmaceuticals: Major
SAGA,Sagaliam Acquisition Corp.,11.3337,0.744,0.0837,Buy,258,2924.0946,49260081.39196061,,-0.5997,Finance,Financial Conglomerates
SAFT,"Safety Insurance Group, Inc.",69.29,-0.17288575,-0.12,Neutral,204874,14195719.46,1024931270.9999998,28.82639264,2.4212,Finance,Property/Casualty Insurance
SAFE,Safehold Inc. New,19.36,-1.02249489,-0.2,Sell,3563344,68986339.84,1375829716,,-22.5889,Finance,Real Estate Investment Trusts
SAEF,Schwab Strategic Trust Schwab Ariel ESG ETF,21.0619,-0.53740844,-0.1138,Sell,986,20767.0334,,,,Miscellaneous,Investment Trusts/Mutual Funds
SACH/PA,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,20.38,-0.82725061,-0.17,Sell,4049,82518.62,170049105,45.65412186,0.4465,Finance,Real Estate Investment Trusts
SACH,Sachem Capital Corp.,3.75,1.35135135,0.05,Strong Buy,212025,795093.75,170049105,8.40053763,0.4465,Finance,Real Estate Investment Trusts
SACC,Sachem Capital Corp. 6.875% Notes due 2024,24.36,0.28818444,0.07,Buy,577,14055.72,170049105,54.56989247,0.4465,Finance,Real Estate Investment Trusts
SABS,"SAB Biotherapeutics, Inc.",0.65,8.87772194,0.053,Sell,137239,89205.35,34007451,,-0.6031,Health Technology,Biotechnology
SABR,Sabre Corporation,4.62,-2.94117647,-0.14,Sell,8345255,38555078.1,1752509147.0000002,,-1.6387,Technology Services,Packaged Software
SAA,ProShares Ultra SmallCap600,20.7265,-1.83992422,-0.3885,Sell,2947,61080.9955,,,,Miscellaneous,Investment Trusts/Mutual Funds
SA,"Seabridge Gold, Inc.",11.14,1.18074478,0.13,Sell,384181,4279776.34,930262931.9337312,,-0.20429152,Non-Energy Minerals,Precious Metals
S,"SentinelOne, Inc.",16.8,-2.38233585,-0.41,Buy,13121436,220440124.8,4967555873.999999,,-1.3588,Technology Services,Packaged Software
RZV,Invesco S&P Smallcap 600 Pure Value ETF,92.77,-1.29265446,-1.2149,Sell,6390,592800.3,,,,Miscellaneous,Investment Trusts/Mutual Funds
RZLT,"Rezolute, Inc.",1.55,0,0,Neutral,72281,112035.55,57082729.00000001,,-1.0107,Health Technology,Pharmaceuticals: Major
RZG,Invesco S&P Smallcap 600 Pure Growth ETF,41.0758,-1.49688249,-0.6242,Strong Sell,864,35489.4912,,,,Miscellaneous,Investment Trusts/Mutual Funds
RZC,"Reinsurance Group of America, Incorporated 7.125% Fixed-Rate Reset Subordinated Debentures due 2052",26.21,0.92414324,0.24,Strong Buy,51769,1356865.49,9509338338,1.88477082,14.1193,Finance,Multi-Line Insurance
RZB,"Reinsurance Group of America, Incorporated 5.75% Fixed-To-Floating Rate Subordinated Debentures due 2056",25.28,0.51689861,0.13,Strong Buy,23640,597619.2,9509338338,1.81789418,14.1193,Finance,Multi-Line Insurance
RYZB,RAYZEBIO INC,24,,,,3998285,95958840,1327580000,,,Health Technology,Biotechnology
RYTM,"Rhythm Pharmaceuticals, Inc.",24.96,1.21654501,0.3,Buy,2302849,57479111.04,1420262167.0000002,,-3.2911,Health Technology,Biotechnology
RYSE,ETF Series Solutions Cboe Vest 10 Year Interest Rate Hedge ETF,30.8513,0.49283388,0.1513,Strong Buy,2,61.7026,,,,Miscellaneous,Investment Trusts/Mutual Funds
RYN,Rayonier Inc. REIT,30.26,-0.55865922,-0.17,Sell,3882765,117492468.9,4486606961,55.1485329,0.5506,Finance,Real Estate Investment Trusts
RYLG,Global X Funds Global X Russell 2000 Covered Call & Growth ETF,24.6342,-0.81931902,-0.2035,Sell,1549,38158.3758,,,,Miscellaneous,Investment Trusts/Mutual Funds
RYLD,Global X Russell 2000 Covered Call ETF,17.54,-0.45402951,-0.08,Sell,1219124,21383434.96,,,,Miscellaneous,Investment Trusts/Mutual Funds
RYJ,Invesco Raymond James SB-1 Equity ETF,57.5869,-1.11901728,-0.6517,Sell,279,16066.7451,,,,Miscellaneous,Investment Trusts/Mutual Funds
RYI,Ryerson Holding Corporation,29.43,-4.35489113,-1.34,Strong Sell,2715326,79912044.17999999,1012069177,9.37768856,3.2092,Non-Energy Minerals,Steel
RYAN,"Ryan Specialty Holdings, Inc.",49.1,-0.18296402,-0.09,Buy,1485885,72956953.5,12776675818,80.29435814,0.6604,Finance,Insurance Brokers/Services
RYAM,Rayonier Advanced Materials Inc.,3.14,-5.70570571,-0.19,Sell,3540911,11118460.54,205178328,25.0798722,0.1349,Process Industries,Chemicals: Specialty
RYAAY,Ryanair Holdings plc,99.4,0.67861845,0.67,Buy,281715,28002471,20158486701.66225,12.26781857,8.1276,Transportation,Airlines
RY/PT,"Royal Bank Of Canada 6.750% Fixed Rate/Floating Rate Noncumulative First Preferred Shares, Series C-2",25.3501,-0.19645669,-0.0499,Sell,400,10140.04,127285539352.36336,3.23479848,7.84593238,Finance,Major Banks
RY,Royal Bank Of Canada,91.51,0.21903406,0.2,Buy,1317577,120571471.27000003,126795463454.98132,11.67712985,7.84593238,Finance,Major Banks
RXT,"Rackspace Technology, Inc.",1.54,-1.91082803,-0.03,Sell,4362473,6718208.42,332472729.00000006,,-6.4358,Technology Services,Data Processing Services
RXST,"RxSight, Inc.",29.83,0.50539084,0.15,Buy,1088222,32461662.26,1063250647.0000002,,-1.9833,Electronic Technology,Electronic Components
RXRX,"Recursion Pharmaceuticals, Inc.",8.57,-0.34883721,-0.03,Sell,17567687,150555077.59,1814424919,,-1.38,Health Technology,Biotechnology
RXO,"RXO, Inc.",18.27,0.93922652,0.17,Sell,2036464,37206197.28,2137268344,178.41796875,0.103,Technology Services,Packaged Software
RXL,ProShares Ultra Health Care,86.7176,-1.4854837,-1.3076,Sell,2382,206561.3232,,,,Miscellaneous,Investment Trusts/Mutual Funds
RXI,iShares Global Consumer Discretionary ETF,154.7676,-0.94664399,-1.4791,Buy,2630,407038.788,,,,Miscellaneous,Investment Trusts/Mutual Funds
RXD,ProShares UltraShort Health Care,12.779,1.53748361,0.1935,Buy,301,3846.479,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWX,SPDR DJ Wilshire Intl Real Estate,24.97,-0.67621321,-0.17,Sell,80351,2006364.47,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWT/PA,"Redwood Trust, Inc. 10.00% Series A Fixed-Rate Reset Cumulative Redeemable Preferred Stock",24.7999,0.68980918,0.1699,Strong Buy,2739,67926.9261,896741929,,,Finance,Real Estate Investment Trusts
RWT,"Redwood Trust, Inc.",7.85,0.12755102,0.01,Buy,3973293,31190350.05,896741929,,-0.8223,Finance,Real Estate Investment Trusts
RWR,SPDR DJ Wilshire REIT ETF,89.77,-0.2333852,-0.21,Buy,242334,21754323.18,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWODU,Redwoods Acquisition Corp.,10.88,3.22580645,0.34,Strong Buy,1700,18496,95762000,,,Finance,Financial Conglomerates
RWOD,Redwoods Acquisition Corp.,10.65,0,0,Buy,619,6592.35,93737600,68.48874598,0.1555,Finance,Financial Conglomerates
RWO,SPDR DJ Wilshire Global Real Estate ETF,40.9,-0.26822726,-0.11,Buy,147261,6022974.9,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWM,ProShares Short Russell2000,23.6,1.11396744,0.26,Strong Buy,724657,17101905.2,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWLK,ReWalk Robotics Ltd.,0.833,-2,-0.017,Buy,164904,137365.032,49927534,,-0.3237,Health Technology,Medical Specialties
RWL,Invesco Exchange-Traded Fund Trust II Invesco S&P 500 Revenue ETF,80.7857,-0.93721643,-0.7643,Buy,59912,4840032.8584,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWK,Invesco Exchange-Traded Fund Trust II Invesco S&P MidCap 400 Revenue ETF,95.51,-1.3122546,-1.27,Sell,10687,1020715.37,,,,Miscellaneous,Investment Trusts/Mutual Funds
RWJ,Invesco Exchange-Traded Fund Trust II Invesco S&P SmallCap 600 Revenue ETF,37.66,-1.02496715,-0.39,Strong Sell,120597,4541683.02,,,,Miscellaneous,Investment Trusts/Mutual Funds
