,Ticker,12-1 Month Momentum %,14-Day RSI,3-Year Average Share Buyback Ratio,3-Year Book Growth Rate,3-Year Dividend Growth Rate,3-Year EBITDA Growth Rate,3-Year EPS without NRI Growth Rate,3-Year FCF Growth Rate,3-Year Revenue Growth Rate,5-Day RSI,5-Year Yield-on-Cost %,6-1 Month Momentum %,9-Day RSI,Altman Z-Score,Beneish M-Score,Cash Ratio,Cash-To-Debt,Current Ratio,Days Inventory,Days Payable,Days Sales Outstanding,Debt-to-EBITDA,Debt-to-Equity,Distress,Dividend Payout Ratio,Dividend Yield %,EV-to-EBIT,EV-to-EBITDA,EV-to-FCF,EV-to-Forward-EBIT,EV-to-Forward-EBITDA,EV-to-Forward-Revenue,EV-to-Revenue,Earnings Yield (Greenblatt) %,Equity-to-Asset,Forward Dividend Yield %,Forward PE Ratio,Forward Rate of Return (Yacktman) %,Future 3-5Y EPS without NRI Growth Rate,Future 3-5Y Total Revenue Growth Rate,Gross Margin %,Interest Coverage,Manipulator,N/A,Net Margin %,Not Manipulator,Operating Margin %,PB Ratio,PE Ratio,PE Ratio without NRI,PEG Ratio,PS Ratio,Piotroski F-Score,Price-to-DCF (Earnings Based),Price-to-DCF (FCF Based),Price-to-FFO,Price-to-Free-Cash-Flow,Price-to-Graham-Number,Price-to-Median-PS-Value,Price-to-Net-Cash,Price-to-Net-Current-Asset-Value,Price-to-Operating-Cash-Flow,Price-to-Owner-Earnings,Price-to-Peter-Lynch-Fair-Value,Price-to-Projected-FCF,Price-to-Tangible-Book,Quick Ratio,ROA %,ROC (Joel Greenblatt) %,ROCE %,ROE %,ROIC,ROIC %,Safe,Shareholder Yield %,Shiller PE Ratio,WACC,WACC vs ROIC,Years of Profitability over Past 10-Year,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Industry
405,CB,3.75,70.87,2.8,-0.1,3.4,9.6,8.9,24.3,10.9,88.9,1.86,6.39,78.65,,,,,,,,,,,,0.24,1.59,13.13,12.66,9.44,10.7,,1.87,2.21,7.62,,1.62,10.47,26.53,14.6,9.07,,,,,12.52,,,1.65,15.24,15.24,1.04,1.92,,1.32,0.56,,8.18,1.46,0.96,,,8.18,,0.91,0.66,3.15,,2.91,,,11.36,,3.56,,6.52,19.08,,,10,Chubb Limited,212.2,0.10378338,0.22,Buy,3846048,816131385.5999999,87157956162.0,15.24096818,14.023,Finance,Property/Casualty Insurance
406,CBAY,214.18,65.71,-7.1,-46,,12.4,7.5,13.2,,60.05,,41.68,65.31,3.15,,11.95,2.15,12.52,,,,-1.58,0.92,Grey,,,-24.2,-24.5,-27.84,-8.98,-9.01,268.43,49.78,-4.13,0.48,,,,,,,,,,-260.27,,-231.54,14.88,,,,55.13,3/9,,,,,,,16.86,15.3,,,,,14.88,12.52,-42.45,-6765.16,-37.73,-103.13,,-443.04,WACC vs ROIC,-3.11,,ROIC,,,CymaBay Therapeutics Inc.,16.52,-2.36406619,-0.4,Buy,2916541,48181257.32,1828784165.9999995,,-0.8841,Health Technology,Biotechnology
407,CBOE,25.35,49.1,1.4,2.6,13.5,-1.2,-13.1,1.2,18.4,31.36,2.62,22.16,42.68,4.22,,0.35,0.3,1.19,,4.45,35.59,1.47,0.48,Grey,0.33,1.37,16.71,14.37,34.55,15.93,13.72,8.51,4.39,5.98,0.51,1.47,19.46,6.92,,,44.36,14.8,,,16.72,WACC vs ROIC,25.46,4.3,24.46,24.46,4.99,4.09,7/9,1.83,1.4,,32.05,,0.8,,,28.72,31.55,,1.41,,1.19,8.83,453.29,17.94,18.9,,9.98,Beneish M-Score,0.3,38.16,ROIC,,10,"Cboe Global Markets, Inc.",149.26,-0.91609134,-1.38,Sell,1309481,195453134.06,15749444949.0,24.47607491,6.1156,Finance,Investment Banks/Brokers
408,CBRE,6.46,31.67,2.4,10.7,,2.2,4.4,15.2,10.3,16.3,,12.68,24.89,3.41,,0.15,0.24,1.16,,43.05,62.48,3.87,0.66,Grey,,,37.46,20.79,56.07,15.84,11.56,0.84,0.94,2.67,0.37,,16.98,3.97,9.29,5.5,20.21,8.49,,,2.74,WACC vs ROIC,3,3.01,29.7,29.7,11.88,0.82,3/9,1.1,1.63,,50.92,5.9,0.94,,,31.69,39.66,,1.26,26.4,1.16,4.07,36.52,6.07,10.61,,4.82,Beneish M-Score,-0.72,24.66,ROIC,,10,CBRE Group Inc,78.42,-1.6677116,-1.33,Strong Sell,3097693,242921085.06,24297503568.0,29.69442236,2.679,Finance,Real Estate Development
409,CBRL,-21.43,20.13,2.2,7.3,26,4.8,,,13.5,10.87,7.86,-23.23,16.31,2.16,,0.05,0.02,0.58,31.42,23.07,3.48,4.7,2.31,Grey,1.17,7.49,22.01,11.16,21.23,17.89,10.33,0.75,0.77,4.54,0.22,7.49,11.83,-0.98,,2.96,32.14,7.92,,,2.88,WACC vs ROIC,3.91,3.18,15.6,15.6,,0.46,5/9,,,,12.35,1.53,0.37,,,6.17,38.44,,0.95,3.38,0.19,4.39,6.42,6.78,20.27,,5.72,Beneish M-Score,3.82,8.51,ROIC,,9,"Cracker Barrel Old Country Store, Inc.",69.43,-1.55962002,-1.1,Sell,1082434,75153392.62,1538043325.0,15.61523064,4.4686,Consumer Services,Restaurants
410,CBSH,-23.44,46.19,1.2,-5,6.1,,7.5,3.4,5.6,61.76,3.38,-13.98,50.05,,,,,,,,,,,,0.27,2.22,,,10.08,,,,2.62,,,2.23,14.49,8.84,,,,,,,31.79,,,2.27,12.16,12.16,3.68,3.84,,0.78,1.04,,14.92,1.14,0.77,,,12.23,11.81,,0.84,2.42,,1.54,,,19.58,,,,-8.07,15.07,,,10,"Commerce Bancshares, Inc.",48.52,0.74750831,0.36,Sell,2750018,133430873.36,6050444279.0,12.14883069,4.0021,Finance,Regional Banks
411,CBT,-4.55,46.01,0.5,-3,2.9,6.3,11.2,,10.2,41.08,2.66,-3.98,43.58,3.73,,0.3,0.18,2.17,73.11,69.26,70.64,1.81,1.09,Grey,0.29,2.22,9.18,7.27,16.18,7.56,6.14,1.09,1.22,10.89,0.33,2.3,10.32,18.63,,2.76,20.45,6.1,,,7.48,WACC vs ROIC,13.02,3.43,13.12,13.12,2.15,0.97,7/9,,,,12.83,1.56,1,,,7.01,12.64,0.85,1.72,4.17,1.37,8.7,24.69,21.25,30.31,,14.9,Beneish M-Score,2.35,48.89,ROIC,,7,Cabot Corporation,69.43,-1.30774698,-0.92,Sell,839992,58320644.56,3883704887.0,13.12253114,5.3352,Process Industries,Chemicals: Specialty
412,CBU,-21.75,31.96,-1.2,-6.9,3.3,,2.3,-0.4,3.5,30.18,5.4,-8.12,29.47,,,,,,,,,,,,0.62,4.06,,,10.89,,,5.36,3.63,,,4.06,11.79,5.73,,,,,,,23.85,,,1.44,15.21,15.21,,3.63,,,,,10.74,1.49,0.68,,,10.07,14.47,,0.75,3.26,,1,,,9.8,,,,-6.24,13.07,,,10,"Community Bank System, Inc.",43.64,-1.40081338,-0.62,Sell,1111956,48525759.84,2335910109.0,15.2400908,2.8801,Finance,Major Banks
413,CBZ,25.18,46.88,3.3,6.1,,17.2,16.5,14.2,16.7,42.01,,15.45,44.87,2.91,,0.01,0.01,1.37,,27.65,69.53,3,0.8,Grey,,,19.34,16.13,30.23,,,,2.21,5.17,0.37,,,18.22,,,14.41,11.09,,,7.67,WACC vs ROIC,10.5,3.45,23.67,23.67,2.11,1.81,5/9,1.07,1.14,,24.95,,1.49,,,21.62,24.78,1.64,1.42,,1.37,5.87,60.42,11.64,15.26,,6.61,Beneish M-Score,-0.32,35.12,ROIC,,10,"CBIZ, Inc.",53.74,-1.88059156,-1.03,Sell,448503,24102551.22000001,2677449047.9999995,23.64588375,2.2965,Commercial Services,Miscellaneous Commercial Services
414,CC,-2.04,39.21,3.2,21,,46.6,,40.2,8.6,39.59,15.23,15.93,38.97,1.83,,0.34,0.19,1.54,102.82,87.74,43.81,8.75,4.8,Grey,,3.14,56.29,17.92,68.93,7.06,5.51,1.16,1.26,1.78,0.11,3.14,6.63,6.77,,1.56,22.43,0.42,,,-1.4,WACC vs ROIC,1.14,5.84,,,,0.8,4/9,,,,41.74,,,,,12.25,59.9,,1.12,6.76,0.88,-1.15,3.74,2.45,-7.8,,4.11,Beneish M-Score,7.92,14.16,ROIC,,8,Chemours Company (The),31.85,-1.48468914,-0.48,Sell,2067800,65859430.0,4716254318.0,,-0.6505,Process Industries,Chemicals: Specialty
415,CCCS,15.75,74.19,-1.5,,,,,45.3,5.5,92.25,,22.21,83,3.41,,2.98,0.48,4.07,,29.59,41.67,8.57,0.41,Grey,,,-225.17,77.35,46.25,,20.51,8.32,9.24,-0.44,0.61,,35.97,,,9.14,72.18,0.95,,,-10.32,WACC vs ROIC,6,3.57,,,,8.91,N/A/9,,,,44.61,,,,,34,,,,,4.07,-2.55,-16.97,-1.06,-4.18,,1.64,Beneish M-Score,0.1,,ROIC,,1,CCC Intelligent Solutions Holdings Inc.,11.51,2.22024867,0.25,Strong Buy,12907050,148560145.5,7275796127.999999,,-0.1358,Technology Services,Packaged Software
416,CCEP,33.38,48.19,-0.1,6.5,10.7,10.1,12.3,22.4,13.9,53.71,3.02,13.24,49.96,1.89,,0.23,0.17,0.85,47.59,134.95,55.03,3.79,1.52,Grey,0.49,3.02,16.01,11.84,19.5,13.79,10.51,1.88,2.04,6.25,0.26,3.02,14.29,15.06,,5.08,36.09,18.36,,,9.41,WACC vs ROIC,13.52,3.43,15.83,15.83,1.62,1.48,5/9,1.37,0.87,,14.15,,,,,10.3,11.67,1.81,1.19,,0.66,5.68,44.53,10.42,22.3,,7.47,Beneish M-Score,6.71,25.76,ROIC,,10,Coca-Cola Europacific Partners plc,62.6,-0.82382763,-0.52,Sell,1712816,107222281.6,28723770882.0,16.17111415,3.8795,Consumer Non-Durables,Beverages: Non-Alcoholic
417,CCF,50.28,61.64,-0.2,10.9,7.7,6.4,10.7,-13.2,4.8,70.59,1.02,24.24,66.34,5.42,,1.13,0.32,5.16,109.1,31.1,52.18,1.58,0.34,Grey,0.25,0.79,22.97,15.19,26.08,,,,3.31,4.35,0.64,0.79,,7.23,,,36.94,9.1,,,9.59,WACC vs ROIC,16.37,3.03,32.14,32.14,,3.06,4/9,,,,24.05,5.55,1.02,,,21.25,25.54,,1.49,21.59,3.12,6.45,35.7,10.4,9.93,,11.36,Beneish M-Score,-12.89,28.02,ROIC,,10,Chase Corporation,126.95,0.00787774,0.01,Buy,179628,22803774.6,1207101879.0,32.18242198,3.9534,Process Industries,Industrial Specialties
418,CCI,-36.45,37,-1.3,-12,9.3,8,29.2,33.1,5.3,43.23,9.67,-22.61,39.06,0.75,,0.1,0.01,0.5,,40.89,31.38,6.76,4.05,Grey,1.57,6.36,28.64,16.84,39.02,27.86,16.5,10.21,9.93,3.49,0.18,6.36,24.63,11.65,7.59,0.36,70.84,3.38,,,23.86,WACC vs ROIC,35.58,6.06,24.98,24.98,2.78,6.02,7/9,0.8,1.89,12.31,23.47,,0.66,,,13.11,24.46,2.91,2.16,,0.5,4.38,11.3,6.79,22.89,,6.38,Beneish M-Score,3.48,39.52,ROIC,,10,Crown Castle Inc.,98.41,-0.22305587,-0.22,Sell,4574539,450180382.99,42678305512.0,25.049636,3.9352,Finance,Real Estate Investment Trusts
419,CCJ,17.27,81.65,-3,2.3,14.5,-13.3,5,-29.7,-0.8,94.37,0.09,39.18,87.87,6.35,,2.26,2.23,3.64,145.77,53.87,35.31,2.51,0.17,Grey,0.55,0.22,109,55.58,117.27,,,6.94,10.56,0.92,0.69,0.22,28.01,-0.62,,1.46,17.67,0.72,,,4.69,WACC vs ROIC,2.65,3.95,261.69,261.69,,11.1,7/9,,,,130.58,6.77,3.82,,26,71.74,,,2.85,3.98,2.81,1.2,5.04,2.68,1.77,,0.7,Beneish M-Score,0.19,310,ROIC,,6,Cameco Corporation,40.3,1.02782652,0.41,Strong Buy,9131663,368006018.9,17462322946.59574,242.15746316,0.16732592,Non-Energy Minerals,Other Metals/Minerals
420,CCK,-9.53,50.85,4,6.9,,10.4,27.8,,14.6,48.39,1.01,13.01,50.01,2.07,,0.15,0.07,1.3,74.82,97.73,36.35,4.66,3.34,Grey,0.23,1.04,16.04,11.26,-216.94,11.41,8.91,1.39,1.46,6.23,0.15,1.06,12.44,-9.16,,3.93,18.17,3.13,,,3.84,WACC vs ROIC,9.57,4.85,22.81,22.81,,0.89,7/9,,,,,,1.06,,,11.97,256.65,,2.63,,0.76,3.3,23.51,10.93,24.95,,8.58,Beneish M-Score,-0.57,27.38,ROIC,,9,"Crown Holdings, Inc.",90.34,-1.72957685,-1.59,Buy,1163161,105079964.74,10899463489.0,22.7734503,3.9785,Process Industries,Containers/Packaging
421,CCL,52.11,40.42,-22.6,-46.7,,,,,-30,40.83,,90.26,39.88,0.36,,0.38,0.13,0.52,11.41,26.14,8.67,42.26,5.98,Grey,,,-34.1,61.55,-21.02,14.73,8.94,2.07,2.92,-2.93,0.11,,15.41,26.57,,,21.02,,,,-19.83,WACC vs ROIC,-8.38,3.28,,,,1.08,5/9,,,,,,0.48,,,18.45,,,,4.66,0.49,-6.66,-3.72,-3.73,-48.52,,-2.75,Beneish M-Score,-5.08,,ROIC,,7,Carnival Corporation,15.19,-2.81509917,-0.44,Sell,24302488,369154792.72,19051768883.000004,,-2.7913,Consumer Services,Hotels/Resorts/Cruise lines
422,CCOI,33,42.05,-0.8,-35.4,13.4,-1.5,-48.6,-3.2,2.3,22.74,11.2,16.22,34.1,2.32,,0.46,0.1,1.72,,25.69,27.98,1.4,3.45,Grey,0.16,5.68,4.11,3.73,47.48,36.1,12.86,4.21,7.11,24.33,0.17,5.77,103.09,16.05,63.02,20.04,55.37,0.56,,,161.48,WACC vs ROIC,7.07,5.91,2.77,2.77,0.87,4.45,5/9,0.24,1.23,,29.79,0.9,0.96,,,14.87,2.43,0.21,1.98,6.59,1.72,77.9,128.81,95.07,Neg. Equity,,4.55,Beneish M-Score,-0.83,22.44,ROIC,,10,"Cogent Communications Holdings, Inc.",65.53,-2.33979136,-1.57,Sell,1290293,84552900.29,3203386635.0,2.77390925,23.8196,Communications,Major Telecommunications
423,CCS,72.65,42.05,1.3,28.2,,59.5,63.8,,18.9,35.64,1.31,30.37,39.77,3.79,,1.12,0.29,11.41,343.54,13.5,4.96,2.9,0.55,Grey,0.09,1.28,7.74,7.5,6.65,,,0.76,0.81,12.92,0.58,1.32,5.14,21.7,,2.64,21.2,N/A,,N/A,7.87,WACC vs ROIC,10.41,1,7.29,7.29,0.15,0.58,6/9,0.23,0.41,,4.86,0.58,,,1.15,4.18,4.86,0.29,1.18,1.03,2.28,8.13,13.32,11.83,14.61,,9.96,Beneish M-Score,3.01,11.55,ROIC,,10,"Century Communities, Inc.",69.63,-2.41065172,-1.72,Sell,815956,56815016.27999999,2229578840.0,7.30088496,9.6392,Consumer Durables,Homebuilding
424,CCU,46.48,25.97,,-0.3,-9.8,-0.3,-3.2,,14.2,23.44,3.03,5.26,24.06,2.34,,1,0.44,2.53,119.51,89.25,38.76,6.28,1.03,Grey,0.42,2.36,13.64,13.64,186.05,8.11,5.6,0.89,1.07,7.33,0.38,2.36,,-6.4,,,45.38,2.85,,,4.3,WACC vs ROIC,8.68,1.7,17.55,17.55,,0.82,6/9,,,,137.04,1.36,0.46,,,11.33,,,1.93,2.23,1.7,3.36,12.88,7.65,8.9,,10.21,Beneish M-Score,-19.19,12.98,ROIC,,10,"Compania Cervecerias Unidas, S.A.",13.37,-1.69117647,-0.23,Strong Sell,160596,2147168.52,2505986930.3439875,18.03588291,0.7413,Consumer Non-Durables,Beverages: Alcoholic
425,CD,-5.76,59.61,-22.5,24.6,,93.2,,-11,45.1,55.79,,31.91,57.29,1.5,,1.19,0.41,1.99,,218.8,103.68,4.1,1.06,Grey,,,17.02,10.17,13.45,15.36,8.62,4.48,5.04,5.88,0.42,,,,,35.41,41.14,3.32,,,14.92,WACC vs ROIC,27.3,1.91,25.82,25.82,,3.67,6/9,,,,10.18,1.5,,,,10.18,,,,2.06,1.99,3.5,11.41,8.24,7.57,,6.11,Beneish M-Score,-20.97,,ROIC,,2,Chindata Group Holdings Limited,8.34,-0.11976048,-0.01,Buy,1170138,9758950.92,3041946134.0,25.64575646,0.3281,Technology Services,Data Processing Services
426,CDAY,21.77,54.1,-2.1,1.7,,-24.5,,,13.7,41.66,,6.77,51.71,1.38,,0.11,0.39,1.1,,25.74,45.21,8.07,0.56,Grey,,,194.8,79.15,157.23,47.62,36.33,5.07,8.83,0.51,0.28,,30.49,,,,41.08,1.96,,,-0.95,WACC vs ROIC,4.86,5.08,,,,8.28,6/9,,,,147.14,,,,,61.52,,,7.18,,1.1,-0.15,31.26,1.84,-0.62,,-0.38,Beneish M-Score,-0.31,,ROIC,,2,Ceridian HCM Holding Inc.,73.14,-1.17551682,-0.87,Buy,1181674,86427636.36,11381501726.000002,,-0.0868,Technology Services,Packaged Software
427,CDNS,38.71,47.63,0.9,10.2,,25.5,-4.3,20.3,15.9,36.46,,11.44,44.13,20.36,,0.73,1.35,1.37,111.71,,27.54,0.52,0.22,Grey,,,58.92,52.65,58,36.43,33.51,13.97,17.29,1.7,0.56,,40.82,21.31,13.59,11.84,89.41,33.47,,,23.41,WACC vs ROIC,28.78,21.88,71.8,71.8,3.28,16.79,6/9,2.85,2.19,,56.45,13.35,2.65,,,50.71,72.31,3.08,4.4,55.87,1.26,17.94,286,29.71,31.94,,22.35,Beneish M-Score,1.44,118.22,ROIC,,10,"Cadence Design Systems, Inc.",234.08,-3.59937402,-8.74,Sell,2806203,656875998.24,63620605697.99999,71.95155688,3.2955,Technology Services,Packaged Software
428,CDP,1.04,44.14,-0.1,,,-4.8,-8.7,3.7,6.2,41.35,4.49,4.73,42.46,0.8,,0.04,0.01,0.95,,117.55,88.82,5.41,1.28,Grey,0.67,4.51,19.27,12.24,20.4,,,,7.2,5.19,0.41,4.59,,8.23,,,32.37,2.92,,,27.43,WACC vs ROIC,26.34,1.62,14.76,14.79,,4.05,8/9,,,10.37,11.45,1.03,0.89,,,10.48,9.37,,0.83,1.61,0.95,4.51,279.26,6.81,11.26,,4.44,Beneish M-Score,4.32,21.54,ROIC,,10,Corporate Office Properties Trust,24.94,1.5885947,0.39,Sell,542778,13536883.32,5584068435.0,14.80558029,1.6928,Finance,Real Estate Investment Trusts
429,CDW,20.63,52.87,1.8,20.8,18.2,16.4,17.7,18.1,12.4,31.06,3.33,8.5,44.94,3.57,,0.04,0.03,1.3,17.76,61.45,72.55,3.04,3.68,Grey,0.29,1.14,20.3,17.34,32.78,15.32,7.25,1.37,1.51,4.93,0.12,1.14,19.34,17.26,,2.89,20.93,7.06,,,4.81,WACC vs ROIC,7.51,17.19,26.34,26.34,1.68,1.27,6/9,0.84,0.97,,27.45,,1.52,,,24.31,31.38,1.87,1.99,,1.14,8.16,121.51,20.58,74.66,,13.51,Beneish M-Score,5.43,41.4,ROIC,,10,CDW Corporation,207.0,-1.32990133,-2.79,Neutral,1189703,246268521.0,27747908432.0,26.31010333,7.9685,Technology Services,Information Technology Services
430,CE,11.19,60.7,3.2,35.3,4.5,21.7,36.2,10.3,20.6,64.58,3.35,16.51,62.56,1.73,,0.33,0.09,1.59,104.35,59.71,47.92,7.83,2.64,Grey,0.24,2.18,21.65,14.53,25.48,12.38,9.51,2.35,2.68,4.62,0.22,2.18,9.64,23.22,2.25,9.08,21.82,1.41,,,12.32,WACC vs ROIC,9.4,2.48,11.05,11.02,0.65,1.38,3/9,,,,12.9,,0.72,,,8.38,11.47,0.71,0.69,,0.95,5.66,18.01,6.72,23.72,,11.85,Beneish M-Score,-79.32,11.82,ROIC,,10,Celanese Corporation,128.24,-0.49658597,-0.64,Buy,1212785,155527548.4,13959210093.000002,11.03500499,11.6888,Process Industries,Chemicals: Specialty
431,CEF,13.53,44.95,-3.3,8.1,,,-78.7,6.1,-73.9,48.5,,-0.51,44.68,,,,,,,,,,,,,,,,-203.21,,,,13.55,,,,,8.29,,,,,,,98.8,,,0.87,13.93,13.93,1.48,11.61,,,,,,0.68,,,,,,1.36,1.16,0.87,,7.56,,,7.56,,,,,119.8,,,4,Sprott Physical Gold and Silver Trust,17.97,0.84175084,0.15,Sell,340051,6110716.47,3862600000.0,13.54386494,1.3268,Miscellaneous,Investment Trusts/Mutual Funds
432,CEG,22.4,60.76,-0.1,-6.6,,-34.1,,,8.6,55.77,0.89,37.39,58.95,1.37,,0.05,0.04,1.45,21.29,31.26,26.53,2.03,0.64,Grey,0.36,0.9,27.04,12.15,-6.19,15.39,10.79,1.77,1.63,3.7,0.24,1.03,18.38,,,-1.15,7.97,1.74,,,2.94,WACC vs ROIC,2.3,3.14,46.11,46.11,,1.33,N/A/9,,,,,2.54,,,,,,,,3.14,1.18,1.67,7.34,4.01,7.07,,0.89,Beneish M-Score,5.8,,ROIC,,3,Constellation Energy Corporation,109.93,-2.24968878,-2.53,Buy,4287721,471349169.53,35352572909.0,46.10770908,2.3924,Utilities,Electric Utilities
433,CEIX,23.14,75.8,-10.2,26,,20,66.9,69.3,7.9,73.59,3.32,57.14,76.02,4.05,,0.7,1.16,1.4,61.31,93.16,19.66,0.21,0.19,Grey,0.15,3.32,3.31,2.65,5.16,,,1.45,1.27,30.21,0.5,4.5,,13.33,,3.98,80.58,20.49,,,30.08,WACC vs ROIC,35.34,2.4,4.63,4.63,1.78,1.41,9/9,,,,5.7,0.7,,,,4.48,5.16,0.83,0.96,2.4,1.16,27.48,48.08,42.55,67.62,,30.6,Beneish M-Score,29.15,,ROIC,,8,CONSOL Energy Inc.,97.79,-1.69883394,-1.69,Buy,3247399,317563148.21000004,3127821073.0,4.62692217,21.5713,Energy Minerals,Coal
434,CELH,79.86,63.62,-3.5,-17.1,,,,344.9,94.7,45.38,,118.9,58.79,22.09,,2.53,703.57,3.98,111.44,18.43,47.26,-0.02,,Grey,,,-240.43,-249.32,159.14,50.92,49.93,8.59,16.54,-0.42,0.68,,81.97,,,,45.22,N/A,,N/A,-11.59,WACC vs ROIC,-7.42,115.51,,,,16.09,6/9,,,,154.55,,,63.93,,137.08,350.24,,19.03,144.18,3.42,-9.87,-40.22,-7.13,-14.34,,-31.4,Beneish M-Score,,,ROIC,,3,"Celsius Holdings, Inc.",197.53,-2.18381698,-4.41,Buy,2751125,543429721.25,15188324118.0,,-1.849,Consumer Non-Durables,Beverages: Non-Alcoholic
435,CENT,21.18,68.72,1.2,11.5,,18.9,20.3,,14,85.49,,14.08,74.52,2.61,,0.67,0.24,3.51,147.28,33.84,50.71,4.48,0.95,Grey,,,14.72,10.48,14.66,,,,0.98,6.79,0.42,,16.47,19.17,,,29.05,3.66,,,3.7,WACC vs ROIC,6.55,1.74,20.76,20.76,1.79,0.72,6/9,1.16,1,,11.54,2.45,1.06,,,9.14,18.81,1.63,0.8,6.51,1.77,3.63,13.63,7.64,8.85,,5.96,Beneish M-Score,2.94,24.44,ROIC,,9,Central Garden & Pet Company,46.92,9.88290398,4.22,Strong Buy,1457324,68377642.08,2322500670.0,20.78313253,2.3035,Consumer Non-Durables,Consumer Sundries
436,CENTA,20.05,63.26,1.2,11.5,,18.9,20.3,,14,80.98,,11.45,68.77,2.61,,0.67,0.24,3.51,147.28,33.84,50.71,4.48,0.95,Grey,,,14.72,10.48,14.66,,,,0.98,6.79,0.42,,14.79,19.17,,,29.05,3.66,,,3.7,WACC vs ROIC,6.55,1.69,18.65,18.65,1.61,0.72,6/9,1.04,0.9,,11.25,2.37,1.03,,,8.84,18.17,1.58,0.78,6.3,1.77,3.63,13.63,7.64,8.85,,5.96,Beneish M-Score,2.94,23.67,ROIC,,9,Central Garden & Pet Company,42.14,6.36042403,2.52,Strong Buy,1118515,47134222.1,2322500670.0,18.66583983,2.3035,Consumer Non-Durables,Consumer Sundries
437,CEPU,37.47,42.44,,48.7,59.5,6.1,1.7,,11.1,42.24,2.55,32.99,41.06,3.49,,0.97,0.72,2.31,53.07,54.33,209.8,1.11,0.22,Grey,0.23,2.58,3.36,2.73,32.16,,,,2.38,29.76,0.7,2.58,,22.44,,,33.19,1.29,,,8.22,,75.7,1.76,27.22,27.22,1.25,7.81,N/A/9,2.36,0.81,,29.33,2.14,8.46,,,25.81,88.4,3.86,1.3,1.81,2.11,1.7,24.26,16.84,2.5,,11.28,WACC vs ROIC,-2.75,78.25,ROIC,,9,Central Puerto S.A.,6.26,-2.79503106,-0.18,Sell,161655,1011960.3,1727234395.4784,13.65023986,0.4586,Utilities,Electric Utilities
438,CEQP,-12.87,55.28,-13.1,,2.6,-10.6,,,13.6,45.77,9.92,12.69,53.35,1.53,,0.02,,1.37,10.44,25.28,27.46,4.36,1.72,Grey,2.88,9.18,14.9,8.27,33.28,13.53,6.83,1.92,1.19,6.71,0.3,9.18,,17.47,,,13.62,1.8,,,3.11,WACC vs ROIC,7.27,1.57,30.69,30.69,1.72,0.59,7/9,,,,16.48,2.38,1.12,,,6.76,15.6,2.78,1.08,4.15,1.1,2.52,9.39,7.04,8.55,,6.37,Beneish M-Score,-23.02,,ROIC,,5,Crestwood Equity Partners LP,28.54,-0.17488632,-0.05,Buy,1049956,29965744.24,2949771487.0,30.35524357,0.9918,Industrial Services,Oil & Gas Pipelines
439,CERE,-27.2,39.81,-7.2,75.9,,-54.1,-31.9,-51.5,,33.26,,-11,39.15,,,11.23,,11.47,,,,,,,,,-7.75,-7.85,-9.18,,,,,-12.9,,,,,,,,,,,,,,10.11,,,,,,,,,,,,18.41,17.03,,,,,10.11,11.47,-43.74,-820.11,-48.33,-84.03,,-348.54,,-6.68,,,,,"Cerevel Therapeutics Holdings, Inc.",22.65,1.43304971,0.32,Sell,1446436,32761775.4,3567094995.0000005,,-2.5492,Health Technology,Pharmaceuticals: Major
440,CERT,12.97,28.35,-1.4,28.1,,12.2,,39.2,15.6,18.37,,-17.8,24.26,3.36,,2.38,0.8,3.43,,12.86,80.3,3.1,0.28,Grey,,,52.48,23.95,31.82,18.58,16.98,6.15,6.69,1.91,0.7,,29.76,,,7.78,61.47,1.96,,,5.45,WACC vs ROIC,12.13,2.05,117.5,117.5,,6.5,6/9,,,,30.75,,,,,26.08,,,,,3.43,1.24,174.31,3.09,1.79,,2.72,Beneish M-Score,-0.05,,ROIC,,1,"Certara, Inc.",14.1,-1.94714882,-0.28,Sell,1735678,24473059.8,2252843611.0,117.30449251,0.1213,Technology Services,Packaged Software
441,CET,2.07,47.52,-2.6,1.8,22,,,19.6,,45.23,30.33,9.11,47.34,,,,,,,,,,,,0.39,6.8,,,24.65,,,,5.57,,,6.8,,10.98,,,,,,,96.62,,,0.82,5.75,5.75,0.77,5.59,,,,,24.43,0.46,,,,24.43,,,0.82,0.82,,15.12,,,15.16,,,,6.65,8.27,,,7,Central Securities Corporation,36.04,-0.7632747,-0.2772,Sell,44263,1595238.52,1008270000.0,5.74828142,6.2697,Miscellaneous,Investment Trusts/Mutual Funds
442,CF,-23.7,56.88,3.3,24.4,7.7,53.9,94.4,49.5,38.3,54.52,2.26,6.44,56.9,4.26,,5.18,0.99,6.55,33.23,37.17,23.93,0.73,0.56,Grey,0.13,1.95,4.52,3.66,5.91,8.24,5.86,2.56,1.86,22.12,0.43,1.95,10.99,30.88,-13.68,-18.1,44.05,39.35,,,27.36,WACC vs ROIC,41.09,2.76,6.8,6.8,0.18,1.89,6/9,,,,5.88,1.14,0.82,,,5.01,6.07,0.27,0.51,4.31,6.03,17.81,51.45,29.01,47.06,,28.16,Beneish M-Score,9.31,17.62,ROIC,,9,"CF Industries Holdings, Inc.",82.1,-2.21534064,-1.86,Buy,4109477,337388061.7,15841000279.000002,6.79438904,12.1245,Process Industries,Chemicals: Agricultural
